0,0.091877,0,0.0050375,0,0.0008461,0,0.00030033,0.001059,0,0.00044472,0.0010331,0.10548,0.00034746,0.00013491,0.015959,0.00031308,0.00038641,0,0.0025616,0.00076212,0.00032099,0.00070758,0.00046133,0.00010441,0,0.0039965,0.00085319,0.00018449,0.00032477,0,0.00050903,0.011638,0.0012379,0.0034835,0.02706,0.0012729,0
0,0,0.00061869,0.000159,0,0.0035592,0.00023274,0.10079,0.00063855,0,0.00052972,0.00064403,0,0.00046003,0,0.0085162,0.00051676,0.00073405,0,0.0008804,0.001533,0,0.12093,0.060988,0,0.0024479,0.00011366,0,0.11628,0.0042024,0,0,0.0008134,0,0,0.0036301,0,0.0013841
0.0010481,0.00054407,0.00016119,0.00061431,0.00016667,0,0,0,0.00043386,0,0.00077907,0,0.00020095,0.00018462,0,0.0074373,0,0,0,0,0,0.0011128,0.00080612,0.0013424,0.0013995,0,0.0025645,0,0,0,0,0,0.00024327,0,0,0.0002645,0.00066623,0.0036071
0.0012687,0.00050397,0.00073661,0.0037807,0.0053365,0,0,0,0.00088348,0,0,0.0020405,0,0,0,0.020395,0,0,0.00029332,0.00050926,0.002613,0,0,0.0033669,0,0,0.0017825,0,0.0021772,0.0022145,0,0.00063602,0,0,0,0.0027051,0,0
0,0.00012764,0.00013859,0.00064867,0.00043011,0,0,0.0012693,0.0017699,0,0,0.00081289,0.00038016,0.0010852,0,0.0060992,0,0,0.0057117,0.0021514,0,0.0025321,0.00073028,0.00041997,0.0011521,0.00060555,0.00026651,0,0.00038234,0.0019045,0,0,0.00030561,0,0.0043318,0.0061827,0,0
0,0.0017537,0.00038965,0.001373,0,0,0.00059154,0.00025484,0.10582,0,0,0,0.0014972,0.0033994,0,0.0041074,0,0.0010325,0,0.11236,0.00078133,0,0,0.0035352,0.001498,0,0,0.0014674,0.0015723,0.0019666,0,0.0022765,0.001043,0,0.0053975,0.0019792,0.0011057,0
0.0019445,0,0,0.00022617,0,0,0,0.0013231,0,0,0,0.1061,0.00018948,0.0013134,0,0.0043841,0,0,0.0070194,0,0,0.002004,0,0,0,0.00022101,0.00017626,0,0,0.0043907,0,0,0.0008435,0,0,0.0046924,0.00080305,0.0028758
0,0,0,0.00038012,0.00015143,0,0,0.00025075,0.00087071,0,0,0.00075371,0.001385,0.00019823,0,0.018405,0,0,0,0.0023875,0.0016377,0,0,0.0013066,0.00055969,0.00058862,0,0,0,0,0,0,0,0.0019013,0.00096565,0,0.0015536,0
0.00077104,0,0,0.0019741,0,0,0.00031852,0,0.0023178,0,0,0,0,0,0,0.0019201,0,0,0,0.00070496,0,0,0,0.0016708,0,0.00051125,0,0,0,0.0021096,0,0.00057672,0,0,0,0.0011155,0,0
0,0.00065718,0,0.0018772,0.00070382,0.00029411,0,0.00090814,0.0012683,0,0,0,0.00098711,0.00089614,0,0.01134,0,0,0,0.0011797,0,0,0.0015786,0,0,0.00017516,0.0042937,0.00043635,0.00025911,0.001177,0,0,0,0.0033584,0.0050448,0.0014527,0,0
