0.00077441,0.092146,0.0012807,0.0075142,0.0067902,0.00049101,0.0067292,0.0010699,0.000691,0,0,0,0.00015199,0.0010454,0,0.013574,0
0,0.0013475,0,0.016161,0.004278,0.0040186,0.012892,0,0.1027,0,0.0012667,0.00040647,0.00052045,0.0012685,0,0.016057,0.00036861
0,0.00050856,0,0.0062531,0.0016321,0.00048756,0.0025571,0.0020054,0,0,0.00068421,0.0014649,0.00050233,0,0,0.0037897,0.0002552
0.0017635,0.00056872,0,0.0059113,0.0056886,0.0076867,0.0093962,0.00035182,0,0,0,0.0014902,0,0.00051498,0,0.0083182,0
0,0.00082913,0,0.0012098,0.00096107,0.00076246,0.0048066,0.00019468,0.001291,0,0,0,0.0015504,0.0006374,0,0.0045525,0
0.00042114,0.00175,0.00094342,0.02072,0.0025076,0.011991,0.0022828,0,0.0004384,0,0,0,0.029931,0.0027151,0,0.003044,0.0023476
0.00035026,0.00010503,0.00030324,0.0050683,0,0,0.025975,0.00030123,0.0013627,0.00088472,0,0.001699,0.0017847,0,0,0.036643,0
0,0,0.0016138,0.0066639,0.001693,0.00073476,0.0036453,0,0.00054759,0,0,0.0001935,0,0.0019819,0,0.0046221,0.00040336
0.00034594,0,0.00054406,0.0081619,0.0032289,0.0005239,0.00021684,0,0,0,0,0.00065258,0.00017746,0.00019093,0,0.00016264,0.00056279
0.00026307,0.00070138,0.08945,0.0021918,0.0024061,0.0014385,0.0020642,0.0001709,0.0011451,0,0,0.00047045,0.00059048,0.00049387,0,0.0027058,0
0,0,0,0.0015689,0,0.00079745,0.07562,0.00092333,0,0,0.0011301,0,0.00083404,0,0,0,0.0012364
0,0,0.00084425,0.0081801,0.0022978,0.0024745,0,0.00090661,0.00029413,0.0013856,0.00021825,0,0,0.11016,0,0.00011421,0.00075839
0,0.00028677,0.00017407,0,0.0026644,0.000964,0.0088498,0,0.00022574,0,0,0.00058243,0,0.001306,0.00076655,0.011026,0
0.00064914,0.0011862,0.0006134,0.0093691,0.0016681,0,0.017132,0.00060731,0,0,0,0,0.000391,0,0,0.020292,0
0,0.093268,0.00090132,0.0099476,0.092015,0,0.038981,0.00077826,0.00068113,0,0,0,0.0021124,0,0.00032922,0.064501,0
