0.0025796,0.006528,0,0.005309,0.0066888,0.0040014,0.004627,0,0.0039975,0,0,0.0020875,0.0031317,0.0027505,0,0,0.0015586,0.012028,0.0027117,0.0048547,0,0.00276,0.0076649,0,0,0,0.0010315,0,0.0046334
0.0028542,0.0061881,0,0.010528,0.0032437,0.002378,0.0062497,0,0,0.0023876,0,0,0,0.0080389,0.0019713,0.0022192,0.00037999,0,0,0,0.0036112,0.0079855,0,0.0021126,0,0,0,0,0
0,0.0026802,0.0035334,0.0032348,0.029474,0,0,0.00071755,0,0,0.0058481,0.00016869,0,0.0020806,0.011514,0,0,0.015031,0.0066721,0.0084353,0.027132,0.0426,0.012683,0,1.1576e-05,0,0.015557,0.01344,0.016175
0.0045574,0.013288,0,0.017522,0,0.0025337,0,0.014282,0.0022904,0,0.0043136,0.0028259,0.0051794,0.0094413,0,0,0.00096174,0,0,0,0,0,0,0.0040175,0,0.0043987,0.0064416,0.013383,0.010696
0.0048097,0,0.00071887,0,0.0056983,0.0063046,0.0037699,0,0.0033638,0.00062677,0.010336,0.0048655,0.00047212,0.0049106,0.0019638,0.0041613,0,0.0027296,0,0.0087929,0.01256,0.036113,0.001846,0,0,0,0.019027,0,0
0.0019254,0.0035812,0,0,0.005467,0.00039648,0,0.0058473,0.006259,0,0.00098619,0.013823,0,0,0.0022329,0,0,0.01631,0,0.0016108,0.0020072,0.0029133,0.010676,0.0026026,0.0035705,0.0018175,0.00046178,0.006256,0
0.0013747,0,0.0014929,0,0,0,0,0,0,0.0030647,0.98354,0,0.0013598,0,0.0029793,0.0024021,0,0.00037589,0.0040755,0,0,0,0,0,0,0,0,0.0010826,0.0013302
0,0,0,0.10318,0.0008676,0.0078989,0,0.0063565,0,0,0,0.0052199,0,0,0.0082275,0,0,0,0,0,0,0,0,0.0045637,0.010099,0.0012717,0,0,0.0008881
0,0.00060085,0.0031132,0.043746,0.00096009,0.024028,0.0098159,0,0.00056304,0,0.071382,0.0039299,0,0,0,0,0.0077398,0,0.00056013,0.073762,0.018891,0.026627,0.01348,0,0,0.011839,0,0,0.010467
0,0.0021348,0.0012959,0.0031118,0,0,0,0,0,0,0,0,0.0010518,0,0.0021296,0.0014382,0,0,0.0015378,0.010908,0,0.0091376,0.012185,0.0018584,0,0,0.0050506,0,0.0015703
0,0.017685,0.00025853,0.013913,0.010996,0.0048881,0.065236,0,0,0,0.0016101,0.0013137,0,0.0021629,0,0.0020328,0,0.0059234,0,0,0.0032822,0.010081,0.0012835,0.0023989,0.0020985,0.0028103,0.039084,0,0
0.00035921,0,0.0027428,0,7.7583e-05,0.01012,0.0050268,0,0.0069443,0.0026247,0.0016783,0,0,0,0,0,0.00050736,0.0063019,0.00036526,0.020562,0.0029326,0.02084,0.0056471,0,0.0008583,0.0037682,0.008641,0,0
0.0051355,0,0.0050864,0.079711,0.0028333,0,0,0,0.00019741,0.0071393,0,0.0011279,0,0,0.0047308,0.0039488,0,0,0,0,0.0035195,0.0010442,0,0.0039642,0,0,0.0087648,0.018259,0
0,0.0030552,0.0031965,0.027226,0,0.014147,0,0.007801,0.0081919,0,0.022857,0.011878,0.0018114,0,0,0,0.016772,0,0,0.015879,0.011218,0.012244,0,0,0,0,0.0059061,0.0057698,0.0077576
0,0.0077869,0,0.011761,0.010495,0.00057216,0,0,0.0010774,0.0034187,0,0.0042125,0,0.0013668,0.0052824,0.0027747,0,0.0089417,0,0.0018964,0,0.0012613,0.021782,0.0027738,0.0058524,0.0032109,0.0026625,0.012593,0.0050024
0.0040233,0.0031234,0.0024108,0.0090104,0.0042104,0.0042157,0,0.0065579,0,0.0047838,0,0.0033884,0,0.0057583,0,0,0.0061326,0,0.0046994,0,0,0.0048479,0.0073925,0.0022527,0,0,0.019225,0,0.0071759
