0.065815,0.00022855,0,0.036744,0,0.01213,0,0.035064,0,0,0,0,0,0,0,0.0033884,0,0.01421,0.031027,0.0041733,0,0.018551,0,0.015937,0.015878,0,0,0.0093747
0,0.0056153,0,0,0.086338,0,0,0.1168,0,0.043195,0.034232,0,0.0098651,0.013281,0.0043348,0.01668,0.019449,0.083353,0.031845,0.013313,0,0,0,0.00013466,0.069691,0.034909,0.011901,0.019625
0.0288,0,0.011241,0.068509,0.01244,0,0.0063358,0,0,0.019546,0,0.017258,0,0.019497,0.003147,0.036356,0,0.013495,0,0.021268,0,0,0,0.0098188,0,0,0.0056667,0
0,0.044518,0,0,0.026965,0.034421,0,0.071034,0.0075357,0.048478,0.077443,0,0,0,0.018854,0.0047676,0.037639,0,0.038832,0.027667,0,0,0.042259,0.65417,0.009164,0,0,0.0033356
0,0.015657,0.0063762,0,0,0,0,0.068472,0,0,0.028434,0.0078812,0.001767,0,0.0014676,0,0,0.0393,0.00051591,0,0.00066389,0.052741,0.00068972,0.067354,0,0.002232,0,0.0080542
0.010576,0.045061,0,0.043122,0.047307,0,0,0.022642,0.012771,0,0,0,0,0.0019333,0,0,0,0.029097,0,0.014765,0,0,0,0.00029587,0.040611,0,0,0.010256
0,0,0,0,0,0,0,0,0,0.04145,0.078999,0,0,0,0,0.0019,0,0.037342,0,0.041862,0,0.030091,0.053045,0.040975,0,0,0,0
0,0,0,0,0.018448,0,0,0.059057,0,0,0.053528,0.025821,0.01356,0,0.022703,0,0,0,0,0.027559,0,0,0.019325,0.0034907,0.038447,0,0.04391,0.048
0,0,0,0,0.023555,0,0,0.092743,0,0,0,0,0.013858,0.027544,0.042068,0.022581,0.027591,0.030533,0,0.013179,0.024427,0,0.008877,0,0.02991,0.040673,0.028385,0.015269
0,0,0,0.031457,0.04202,0.083398,0,0,0.0026013,0.02241,0,0,0,0,0,0.044502,0,0.046063,0,0.043084,0.05346,0.0064388,0.038878,0,0.065711,0,0.0039605,0.044451
0.0008381,0,0.038413,0,0,0,0,0,0,0.10992,0.038441,0.017395,0.053136,0,0.0021768,0.00017517,0,0.015347,0,0.011723,0,0,0.04675,0.023063,0.073943,0.05556,0.065822,0.014329
0.11277,0.063177,0.079986,0.031094,0,0.024774,0.010821,0.0020761,0.0094178,0.0017362,0,0.0039696,0.02348,0.0032118,0,0,0,0.031418,0.0067879,0.0010511,0.0062315,0.027653,0,0.049756,0.0057198,0,0.011588,0
0.0052937,0.03518,0.020936,0,0,0,0,0.035776,0.025908,0,0,0.011216,0.0062016,0.032634,0,0,0,0,0.0093099,0.0069862,0,0.049775,0.036639,0.010045,0,0.035358,0,0
0.0009095,0,0,0.012234,0.038733,0,0.064311,0.088421,0.0044271,0.040007,0,0,0,0.0080195,0,0.058595,0.0029208,0.025742,0,0,0.054242,0.0041406,0.0034952,0.083528,0,0,0.027911,0
0.052823,0,0.089976,0.021251,0.092629,0.0506,0,0.022876,0.065529,0,0,0,0,0.026939,0,0,0.032847,0,0,0,0,0,0,0,0,0.041843,0.02166,0.012492
0.0061665,0,0.028962,0.0029806,0,0.01358,0,0.03546,0.06693,0,0,0,0,0.012055,0,0,0,0.055744,0,0.0095081,0.033336,0,0.0068994,0,0.0039648,0,0.041566,0
0,0,0,0.038293,0.012898,0,0,0,0,0.027919,0,0,0.0045714,0,0.011668,0.009979,0.01659,0,0.013369,0.014237,0,0,0,0.04655,0.0051932,0.019796,0.039322,0
0.013709,0.0026286,0,0.013561,0.073289,0,0,0.025905,0,0,0,0,0.0037658,0,0,0.0034579,0,0,0,0.020859,0,0,0.044742,0.018544,0.006954,0,0.048755,0.020008
0,0,0,0.010492,0.070006,0,0,0.041603,0.033431,0,0,0,0,0,0,0.016072,0.0024351,0,0.0094419,0,0.014675,0,0.0093841,0.041584,0.022779,0,0.018376,0
0.016219,0,0,0,0.044972,0.045292,0,0.029564,0.054028,0,0,0.039126,0.0037182,0.02616,0.00046308,0.0079571,0,0,0,0.020006,0.013526,0,0.01108,0.056388,0.015659,0,0.06287,0.017387
