"","15"
"2",0.371000408473825
"3",0.371000408473824
"4",0.134701841811154
"5",0.134701841811154
"6",0.104436513456823
"7",0.104338470818845
"8",0.0771619800252772
"9",0.0771461353168004
"10",0.0771267296975735
"11",0.0771401599554266
"12",0.048021837529057
"13",0.0480218375290582
"14",0.0290544694689755
"15",0.0302483656789986
