0.00079254,0.0063924,0.00048742,0,0,0.0025817,0,0,0.0027995,0.0028017,0.0094418,0,0.017552,0,0,0.0067912,0,0,0,0.0067563,0,0.0055165,0.0047502,0,0.0085431,0.017372,0.021881,0.061136,0,0,0.029717,0
0.061127,0,0.011578,0.006583,0,0.012391,0.025132,0,0,0,0,0.037913,0,0,0,0,0.042661,0,0,0.0077214,0,0,0.054509,0,0.012094,0,0,0,0,0,0.0090858,0
0,0,0,0,0,0,0,0,0,0,0.0055532,0.023805,0,0.002976,0.0066636,0,0.035975,0,0,0,0.0074146,0,0.015277,0.015911,0.01816,0,0.03656,0.026145,0,0,0.022994,0.015961
0,0.0015181,0,0,0.028794,0.94603,0.003872,0.0037553,0.0031181,0,0.011229,0.0015057,0.00086672,0,0.0032,0,0,0.008328,0.0013474,0,0,0.004772,0,0,0,0.0026222,0.0076901,0,0.010684,0,0.013468,0
0,0,0.017825,0,0,0.024639,0.00055839,0,0.0023572,0,0,0,0.0013081,0.0016168,0,0.00015288,0,0,0.017078,0.014652,0.0025907,0,0.00093685,0.014188,0,0.00085677,0.01859,0,0,0.0038998,0.016792,0.02238
0.12656,0,0,0,0,0.033619,0.0062089,0,0,0,0.021937,0.028756,0.0074194,0,0,0.012237,0.0038778,0,0,0,0.018956,0,0,0.010627,0,0,0,0.0001762,0,0.010017,0.016422,0
0.070187,0.0060817,0.10972,0.028253,0,0.03248,0.00499,0,0,0.0075771,0,0.04644,0.024958,0.015251,0.026702,0.029292,0.016685,0.02479,0.02241,0,0.0050032,0,0.017311,0.062963,0.031951,0.011086,0.015235,0.0088583,0,0.010474,0,0.047573
0.014756,0.0040448,0.01506,0.01168,0,0.0058045,0.015947,0,0.0034439,0,0.012161,0.011116,0.0051176,0,0,0,0,0,0,0,0.024357,0.0076162,0.0040477,0,0,0,0.036617,0,0,0.027027,0.011844,0
0.011245,0,0.021423,0,0,0.018709,0.018745,0,0,0,0,0,0,0,0,0.018213,0,0,0,0,0.020136,0,0.0077927,0.014917,0,0,0,0,0,0,0.03619,0
0.022331,0,0.018415,0,0.015604,0,0.0078826,0,0,0,0.034493,0.0012808,0.01101,0,0.013288,0.011903,0,0.02996,0.019311,0,0,0.0054222,0,0,0.0070831,0,0,0,0,0.0074776,0,0.0015323
0.02925,0,0.019265,0.0086868,0.015458,0.028533,0.044519,0.067399,0.0045243,0.015515,0.081427,0.079424,0,0.020789,0,0,0.042905,0,0.0063035,0,0.12505,0.0068208,0.018427,0.021525,0.0079679,0,0.023061,0,0,0.014007,0.0017156,0.025573
0.00036403,0.00015645,0,0,0,0.0027437,0.011547,0.0030724,0,0.0041834,0.0066032,0.010729,0.0025215,0.010409,0,0,0.00028801,0,0.00011573,0,0,0.0059097,0.0058023,0.0085203,0,0.0055636,0,0.0079351,0.0047314,0.0077273,0.026918,0
0.018581,0,0.0015739,0.024334,0,0.0035375,0.0047126,0,0,0,0.0047299,0.0040866,0,0,0.0057613,0.016693,0,0,0,0.0025467,0.0013405,0,0.019959,0.0048447,0.0079546,0.00043133,0,0,0,0.013469,0,0.0083541
0,0,0.055123,0,0,0.086113,0,0,0,0.030817,0.024424,0,0.02566,0.0057243,0,0,0.014265,0,0.021448,0.0096167,0,0,0.046269,0.042295,0.026211,0,0,0,0,0,0,0.023787
0,0,0,0.0035454,0.0010668,0,0.003231,0.0024044,0,0.0029033,0.010189,0.0094602,0,0.0090588,0,0.0011752,0.007018,0.007831,0.01708,0.0013559,0,0.0046531,0.00038205,0,0.0019423,0,0.0079282,0,0.015934,0.0029655,0,0
