TCGA-05-4244	NaN
TCGA-05-4249	NaN
TCGA-05-4250	2
TCGA-05-4384	5
TCGA-05-4389	NaN
TCGA-05-4390	NaN
TCGA-05-4395	NaN
TCGA-05-4396	NaN
TCGA-05-4397	NaN
TCGA-05-4398	3
TCGA-05-4402	NaN
TCGA-05-4403	2
TCGA-05-4405	NaN
TCGA-05-4410	3
TCGA-05-4415	NaN
TCGA-05-4417	NaN
TCGA-05-4418	6
TCGA-05-4420	NaN
TCGA-05-4422	2
TCGA-05-4424	3
TCGA-05-4426	5
TCGA-05-4427	3
TCGA-05-4430	NaN
TCGA-05-4432	3
TCGA-05-4433	2
TCGA-05-4434	NaN
TCGA-05-5420	5
TCGA-05-5423	NaN
TCGA-05-5425	3
TCGA-05-5428	3
TCGA-05-5429	5
TCGA-05-5715	5
TCGA-17-Z000	NaN
TCGA-17-Z001	NaN
TCGA-17-Z002	5
TCGA-17-Z003	3
TCGA-17-Z004	5
TCGA-17-Z005	NaN
TCGA-17-Z007	1
TCGA-17-Z009	5
TCGA-17-Z010	NaN
TCGA-17-Z011	5
TCGA-17-Z013	5
TCGA-17-Z014	NaN
TCGA-17-Z015	3
TCGA-17-Z016	3
TCGA-17-Z017	NaN
TCGA-17-Z018	NaN
TCGA-17-Z019	1
TCGA-17-Z020	NaN
TCGA-17-Z021	NaN
TCGA-17-Z022	3
TCGA-17-Z023	3
TCGA-17-Z025	NaN
TCGA-17-Z026	3
TCGA-17-Z027	5
TCGA-17-Z028	3
TCGA-17-Z030	3
TCGA-17-Z031	3
TCGA-17-Z032	NaN
TCGA-17-Z033	5
TCGA-17-Z036	2
TCGA-17-Z037	NaN
TCGA-17-Z041	1
TCGA-17-Z042	NaN
TCGA-17-Z043	NaN
TCGA-17-Z044	5
TCGA-17-Z045	3
TCGA-17-Z047	5
TCGA-17-Z048	5
TCGA-17-Z049	NaN
TCGA-17-Z050	NaN
TCGA-17-Z051	NaN
TCGA-17-Z052	NaN
TCGA-17-Z053	NaN
