0,0,0.0019135,0.0052726,0.0064842,0.0047361,0,0,0.0022245,0.0034034,0,0.0030727,0.0043995,0.0081347,0.0030517,0,0.0039572,0.0098529,0,0.0031891,0.0087753,0.0036583
0,0,0.0092106,0.0099777,0.0030085,0.0060865,0,0.0025057,0.0022029,0,0.0068956,0.0081856,0,0.0040767,0,0,0,0,0.0047487,0,0,0.006798
0.012317,0,0,0.017768,0.030052,0,0.0014054,0,0,0.00041973,0.0057027,0.0033527,0,0.011044,0.0071452,0.0074422,0.014472,0.011513,0,0.0052714,0.011798,0.040905
0,0,0.00087263,0.020929,0,0,0.014568,0,0,0.0032587,0,0.009317,0.0073018,0,0.0053388,0,0,0,0.0040478,0,0,0
0,0.0020174,0,0,0.0063329,0.0044831,0.00022854,0.00030503,0,0.0062526,0.0010009,0.0071682,0,0.012026,0,0.00088537,0.0055161,0.0028699,0.0019598,0.0094187,0.0020252,0.039916
0,0,0.0011882,0,0.0057352,0,0.0060925,0,0,0.015586,0.00099987,0,0,0.0012621,0.0029352,0.0022449,0.00047821,0.015499,0.0049833,0.0024745,0.010544,0.0029812
0,0,0,0,0,0,0,0.0036621,0,0,0,0,0,0,0,0.0056174,0.0062746,0,0,0,0,0
0,0.0049069,0.0076177,0.091398,0.00044168,0,0.0054736,0,0.0051215,0.0036269,0.0018446,0,0,0,0.00095418,0.0071239,0,0,0,0.00044013,0.009723,0
0,0.0039927,0,0.03426,0,0.0086216,0,0,0,0.0019236,0,0,0.030371,0.059597,0.007497,0,0.06757,0,0,0.060254,0.013955,0.018252
0.0015037,0,0,0.0030573,0,0,0,0,0.0016515,0,0,0,0,0,0,0.0010253,0.0036734,0,0,0.0096922,0.013028,0.010194
0.0026037,0,6.5705e-05,0.019448,0.011952,0.066559,0,0,0,0.0017182,0.018122,0.0040368,0.012282,0,0,0.0037837,0,0.0041,0.0090729,0.00024902,0.0050136,0.010749
0.00041027,0.0014177,0,0.00019117,0.00065085,0.0053787,0,0.0021295,0,0,0.00238,0,0.0043567,0.015602,0.0041678,0,0.0067782,0.0053626,0.00020951,0.018399,0.0054516,0.021954
0,0.0043096,0,0.080016,0.0024044,0,0,0.0068562,0.0039855,0.00096955,0.012037,0,0.00033321,0.0018931,0,0.0054748,0.00037456,0,0.010814,0,0.0021507,0
0.0075397,0.00070748,0,0.033052,0,0,0.0076676,0,0,0.01309,0,0,0.0037511,0.041734,0.01295,0,0.019823,0,0.020381,0.010119,0,0.0097964
0,0,0.0004638,0.015289,0.010786,0,0,0.0031135,0.0017903,0.0046296,0.0042519,0.00099163,0,0.0009645,0,0.0037742,0.00024756,0.0066112,0.0056286,0.0033151,0.021538,0.00093301
0,0,0,0.0082623,0.0045546,0,0.006816,0.003276,0.0015988,0.0038429,0.018538,0.007301,0.0093417,0.00043853,0.0052715,0,0,0,0,0.00058859,0.0088297,0.0053499
0,0,0.0023976,0.0096239,0.0019894,0,0.012929,0.0033722,0,0,0.0082479,0,0.0066158,0.0073899,0,0,0.011169,0.0036752,0.0048699,0.0015732,0,0.0039573
