"","X1","X2","X3"
"3",0.0604860326846391,3,310
"4",7.94292666132356e-05,4,310
"5",0.00209327411016032,5,310
"6",0.0118871329354272,6,310
"7",0.000502526003158582,7,310
"8",0.00921551333530493,8,310
"9",0.0341945507718724,9,310
"10",0.0668625305828363,10,310
"11",0.272836093398628,11,310
"12",0.260313097158523,12,310
"13",0.20501405797922,13,310
"14",0.104147769175962,14,310
"15",0.216361006011847,15,310
"16",0.0110091203363939,16,310
"17",0.212752966361933,17,310
"18",0.00359391639619324,18,310
"19",0.0175895563621783,19,310
"20",0.0055960469381895,20,310
"21",0.0137283291750594,21,310
"22",0.0246319091757571,22,310
"23",0.120261766364816,23,310
"24",0.0391337559730552,24,310
"25",0.141434107592036,25,310
"26",0.11400368933345,26,310
"27",0.0162961368332549,27,310
"28",1.55309626039119e-06,28,310
"29",0.0472684709740064,29,310
"30",0.037831173413114,30,310
"31",0.145226318536508,31,310
"32",1.99355832302707e-11,31,308
"33",0.117374648890022,33,310
"34",0.00728900837612706,33,308
"35",9.81139952647112e-05,34,309
"36",0.218777442041195,36,310
"37",0.296430249297616,36,310
"38",0.286760550420186,36,306
"39",0.0441915004825147,38,309
"40",0.132461171448284,38,306
"41",0.00093228311576399,39,308
"42",0.00123806810680063,39,305
"43",0.116255497517586,41,308
"44",0.144304521313433,41,308
"45",2.09821868142254e-05,42,306
"46",0.000128149012740053,41,293
"47",0.00568117875654644,44,306
"48",0.000771076366601161,45,305
"49",3.65078197420763e-05,45,297
"50",0.104936528089791,45,303
"51",0.154697314462741,42,278
"52",0.217836508930543,48,298
"53",0.638135506607543,45,277
"54",0.00369460365076581,46,296
"55",0.80584852337981,46,278
"56",0.2593214540739,45,235
"57",0.345316109537194,46,261
"58",0.0309173899825516,46,235
"59",0.690396738329444,46,266
"60",0.0118778498658282,46,244
"61",0.268541273302321,50,281
"62",0.491861774523084,48,255
"63",0.0550435571262297,46,268
"64",0.429150976287342,49,253
"65",0.005658668185014,48,244
"66",0.576340417410947,48,236
"67",1.51349808960654e-08,48,257
"68",0.62171229928136,51,268
"69",1.29145990503656e-06,48,234
"70",0.145843412777637,51,259
"71",0.137462422862347,51,247
"72",1.03655053215586e-08,49,215
"73",1.68880376678776e-05,50,243
"74",0.000283611697403128,46,219
"75",0.0390007197474918,54,251
"76",3.63286239884924e-09,50,239
"77",0.320979353014424,52,224
"78",0.00386196318037078,50,212
"79",0.0446101226954122,52,224
"80",0.00191642978505399,54,230
