0,0.092109,0.0006377,0.0050781,0.00072284,0.00012572,0.0042551,0.00050131,0,0,0,0.0011548,0,0.10507,0.00083064,0.0089269,0,0.0050885,0,0,0,0.00020254,0.00098486,0.00018953,0.0037019,0.00023149,0.00062534,0,0.0085439,0,0,0,0,0.001142,0,0
0.00096362,0,0,0.00035009,0,0,0.0043902,0,0,0,0,0.00076373,0,0,0.0020082,0.0067937,0,0.00092998,0,0,0.0010446,0,0.12122,0.0002477,0.0020016,0,0.10899,0,0.0028087,0,0,0.00079479,0,0,0,0
0.00013446,0.00057392,0,0.00064707,0,0.00025243,0.0057253,0.0019702,0.00017284,0,0,0,0,0.00018294,0.0016388,0.0033586,0,0,0,0,0,0,0.00083819,0.00096003,0.0031991,0.0013012,0.0011092,0,0.011682,0,0.00072976,0,0,0,0.0013881,0.0054654
0,0.00088441,0,0.00087481,0,0.0064197,0,0,0.00065635,0,0,0.0011496,0.00030068,0,0,0.012945,0,0.00050983,0.00037183,0,0,0,0,0,0.1152,0,0.0051197,0,0.025217,0,0.00026443,0,0.00074352,0,0,0
0.00066449,0.00093795,0,0.000658,0,0.00048985,0.00099273,0.00017537,0,0,0.003214,0.00052829,0,0.00037538,0.00027277,0.0027559,0.00055508,0,0,0.0054165,0.00072527,0.001273,0.00057625,0.00087452,0.00058717,0,0.00064157,0,0.008362,0.00031139,0,0.00032314,0.0022515,0,0,0
0,0.0017981,0,0.0013997,0,0,0.021012,0,0,0,0,0,0,0.0013537,0.0023759,0.0021311,0.0005436,0.0016309,0,0,0,0,0,0.0011853,0.00091874,0.0019158,0.0041159,0.00087509,0.00014485,0,0.00068172,0,0,0,0.0021804,0.0014319
0,0.0005892,0,0.00034027,0,0,0.0058414,0.00078618,0,0.00071668,0.0024505,0.10651,0,0.00035743,0.002018,0.0023979,0.0014054,0,0,0.0070487,0.00093751,0.0015532,0,0,0.00042287,0.00050851,0,0,0.0094809,0,0.00039266,0.00069074,0,0,0.0008236,0
0,0,0.0012793,0.00039058,0,0.0002602,0.0072655,0,0,0,0.00046347,0.00056919,0.00021832,0.0015115,0.00091264,0.0097571,0.0018702,0,0,0,0,0,0,0.00034515,0.0025269,0.00078365,0.0013509,0,0.012811,0,0.0014724,0.001156,0.0021219,0.0020254,0,0
0,0,0.00057367,0.001995,0,0,0.0082127,0,0,0,0.00011926,0,0.00088216,0,0.001713,0.00090731,0.00021864,0,0,0,0,0,0,0,0.00088673,0.0020073,0.0010715,0,0.0014995,0,0.0011742,0.00027302,0,0,0.0017844,0.0002727
0,0.00076573,0.089608,0.0016894,0.00027724,0.00085364,0.0026734,0,0,0,0,0,0,0.00093719,0.0010851,0.0067245,0.00025195,0,0,0,0,0,0.0016981,0,0.0044756,0,0,0,0.010434,0,0,0,0.0022169,0.0012466,0,0
0.000454,0.0034398,0,0,0,0.0006455,0.0021463,0.0015568,0.0001471,0,0,0,0,0.00030372,0.001468,0.0017059,0,0,0,0.0019574,0,0.0012548,0.00070512,0.00047239,0.0012896,0.00026502,0,0,0.011215,0.00046652,0.00089276,0,0,0,0.0003151,0.0029997
0.00015118,0.00012953,0.00079899,0.0014199,0.00017223,0.0022527,0.0091173,0.00087613,0,0,0,0,0,0.00055935,0.00066649,0.00096349,0.11065,0,0.00033471,0,0,0,0.00031916,0,0.001033,0,0.0021996,0,0,0,0,0.00039112,0.0030824,0,0,0.00076109
0.00016099,0.00015499,0,0.0010243,0,0.00037698,0,0,0,0,0.00024825,0,0,0,0.00045146,0.035843,0.00076178,0.0003485,0,0,0.00024029,0.004129,0.00040053,0,0.0011258,0,0.0018604,0,0,0.10236,0.00019459,0,0.00135,0.0013788,0.00031793,0
0.00053272,0.0013982,0.00078728,0.00055217,0,0,0.005921,0,0.00083734,0,0.0011478,0.00053509,0,0.0020372,0.0023239,0.0058719,0,0,0,0.0039433,0.00034835,0,0,0.1285,0.0008529,0.00065533,0.00097412,0,0.01449,0,0,0.0010736,0.00073627,0,0,0
0.00056918,0.093936,0.00041041,0.091837,0.0020332,0,0.018621,0.0013713,0,0.00035919,0.10886,0,0,0.0031075,0.0039451,0.02162,0,0.0043595,0,0,0,0.12351,0.00023333,0.0067508,0,0.0022136,0.00084627,0,0.068702,0,0.0020332,0.0010834,0.0012821,0,0,0
