"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
"2",0.199010269975706,480,2,0.16671714107191,480,2,0.167091984528565,480,2,0.193233601304787,480,2,0.193233601304787,480,2,0.193233601304787,480,2,0.142071899404907,480,2,0.226256852941989,480,2
"3",0.143729241343254,480,3,0.232411831244163,480,3,0.240892257690914,480,3,0.197407459872212,477,2,0.149488117030219,477,3,0.170613937064327,475,3,0.179648665417434,475,3,0.381159053405219,477,3
"4",0.00254527434359464,480,4,0.0603646428901008,479,4,0.0608038111009093,478,4,0.00177690504620333,477,4,0.14876939889371,476,4,0.314102605969244,473,3,0.180760430814913,473,3,0.39695932073625,472,3
"5",0.00964074650349618,480,5,0.162127191656932,479,5,0.167596988565994,478,5,0.00682679383268197,477,5,0.339757169474923,476,5,0.214089789913201,473,4,0.320066294308561,473,4,0.241609570978158,472,4
"6",0.0206680479818038,480,6,0.229724064940575,479,6,0.22933146777157,478,6,0.137558080488974,477,6,0.118830211831486,476,6,0.384784717383355,473,5,0.13099099403808,473,5,0.156693574678605,472,5
"7",0.864303535637544,480,7,0.0040920658612223,476,6,0.358843539592186,478,7,0.831652900678704,468,6,0.838202426558288,467,6,0.187475131184175,473,6,0.218096018453526,473,6,0.321448533954536,472,6
"8",0.201491108615924,477,7,0.126974219383773,479,8,0.186199187512399,477,8,0.194560464035593,477,8,0.455250157049084,467,7,0.675859430781967,473,7,0.267300925106298,473,7,0.299991983010177,472,7
"9",0.844796082953114,479,9,0.11417752077932,479,9,0.061575030936436,477,9,0.0873799938633783,477,9,0.38757076342967,470,8,0.0493955395496882,473,8,0.560913511839046,472,8,0.000889035026550555,472,8
"10",0.111925404480944,480,10,0.0550485434971055,479,10,0.0965209995891524,477,10,0.28230814776247,477,10,0.656786361693883,470,9,0.00570344512760589,473,9,1.487241786606e-06,472,9,0.000724238786762349,472,9
"11",0.881455410463541,479,11,0.0860822560081739,478,11,0.250845125538924,477,11,0.142145746131537,477,11,0.29033979195835,470,10,0.00407521471281673,466,9,0.185905699077936,467,9,0.553207248968573,470,9
"12",0.287361515865032,479,12,0.0446060387532702,477,12,0.0820969718402594,477,12,0.958936271751741,452,9,0.23881250596684,461,10,0.521952459667434,467,10,0.262539105119116,467,10,0.575887639667327,458,9
"13",0.0863422395670964,472,12,0.0289803312021184,478,13,0.0296349491898111,477,13,0.966863404537803,452,10,0.466706045671121,470,12,0.000248914748691439,459,10,0.263838696768205,462,11,0.00284665214259883,472,12
"14",0.265908680319116,475,13,0.125544719795605,468,12,0.0346704806477573,477,14,0.864191782507358,453,11,0.330418613317801,462,12,0.0120280264169447,457,11,0.42554855312098,462,11,0.00301104249415929,467,12
"15",0.522458086065259,455,12,0.0921960404559223,453,12,0.144452670611212,468,14,0.752018770857873,460,13,0.438865895527324,462,13,0.772016611307559,455,11,0.784690968053703,471,14,0.918875188948384,450,11
