"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24"
"2",0.31427124759524,480,2,0.245397381441816,480,2,0.422657494926599,480,2,0.330346246872171,480,2,0.254698699741955,480,2,0.116047652253882,480,2,0.273556695116678,480,2,0.201034713551885,480,2
"3",0.524339377486436,480,3,0.245397381441815,479,2,0.422657494926601,479,2,0.335978145845161,479,2,0.250678456339877,479,2,0.109811103313092,479,2,0.26921084048499,479,2,0.204542927930434,479,2
"4",0.57917361673451,480,4,0.453583322842954,479,3,0.421558293302942,478,2,0.337057987077976,477,2,0.250678456339877,478,2,0.109811103313094,478,2,0.270623143895611,478,2,0.421815223495685,479,3
"5",0.650469320353755,480,5,0.51605276899224,479,4,0.529443339361288,478,3,0.337057987077976,477,2,0.249900819179267,477,2,0.110235568782192,477,2,0.270623143895612,477,2,0.422985565824454,478,3
"6",0.489617222853291,480,6,0.553615334827798,479,5,0.583236448939233,478,4,0.539884220904477,477,3,0.249251445284083,476,2,0.110592775612597,476,2,0.269915615266339,476,2,0.422985565824456,477,3
"7",0.616147153686385,480,7,0.689780503620363,479,6,0.706804109303629,478,5,0.0960537416784992,477,4,0.252199509598336,476,3,0.111103386512203,475,2,0.26890356174903,475,2,0.423968953436814,476,3
"8",0.551592348500958,479,7,0.797477377530018,479,7,0.810063322632806,478,6,0.145720230598396,477,5,0.219641499557497,476,4,0.180758722260408,475,3,0.34719562492201,475,3,0.423968953436815,475,3
"9",0.66651735564006,479,8,0.770004537587054,479,8,0.800142143324806,468,5,0.229312477139921,477,6,0.322804952869964,476,5,0.181697534602672,473,3,0.349205032083902,473,3,0.425370427941215,474,3
"10",0.558115741422739,479,9,0.747704850423005,469,7,0.89280385082398,468,6,0.32902563746822,477,7,0.440598062851576,476,6,0.30807152622889,473,4,0.416859286145039,473,4,0.433598143906639,472,3
"11",0.246580089277738,479,10,0.747683580324846,468,7,0.929530837422982,468,7,0.850486344052368,462,6,0.380333781008508,473,6,0.458065758979677,473,5,0.41685928614504,472,4,0.398189680451408,472,4
"12",0.240326624004873,468,9,0.618218117771706,468,8,0.686039501617585,468,8,0.682516596374852,462,7,0.479962013461408,473,7,0.385374377260785,473,6,0.540093831594733,472,5,0.403667436055572,464,4
"13",0.242531687788576,459,9,0.656882595216634,468,9,0.28665822467984,468,9,0.774653800313737,462,8,0.678930767671958,469,7,0.484046463674557,473,7,0.369575050499555,472,6,0.570655436004628,464,5
"14",0.288285212367828,459,10,0.744700846890314,468,10,0.357635452701136,468,10,0.813852394996658,462,9,0.580749218136083,469,8,0.486232396264477,469,7,0.381509104644037,472,7,0.711728911941649,464,6
"15",0.211683537793702,459,11,0.774869573582196,468,11,0.129208988779383,468,11,0.681406298037428,462,10,0.562678543967665,469,9,0.577316188816832,469,8,0.446709247708651,472,8,0.814804105934063,464,7
