,# of components,,,,,,,,,,,,,,,,,,,,,,,,,
,p-val,samples,groups,p-val,samples,groups,p-val,samples,groups,p-val,samples,groups,p-val,samples,groups,p-val,samples,groups,p-val,samples,groups,p-val,samples,groups,,
# of clusters,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,10,10,10,,3
2,0.314271248,480,2,0.31876681,480,2,0.315900913,480,2,0.346166799,480,2,0.330346247,480,2,0.330346247,480,2,0.244789754,480,2,0.334975656,480,2,,0.244789754
3,0.247600214,480,3,0.316818497,480,3,0.245989239,480,3,0.239555647,480,3,0.314468747,480,3,0.314468747,480,3,0.215111618,480,3,0.287674986,480,3,,0.215111618
4,0.684849647,480,4,0.246136685,480,4,0.253158134,480,4,0.262164613,480,4,0.278063149,480,4,0.289591325,480,4,0.435874403,480,4,0.471039566,480,4,,0.246136685
5,0.550567964,480,5,0.563551825,480,5,0.541980999,480,5,0.606006278,480,5,0.563838198,480,5,0.50426721,480,5,0.531890457,480,5,0.400223416,480,5,,0.400223416
6,0.74338568,480,6,0.605747074,480,6,0.60630578,480,6,0.773541299,480,6,0.428502229,480,6,0.095342883,480,6,0.57752505,480,6,0.753596327,480,6,,0.095342883
7,0.899074181,480,7,0.875867681,480,7,0.914613294,480,7,0.603241072,480,7,0.65847705,480,7,0.165363323,480,7,0.293161656,480,7,0.579705938,480,7,,0.165363323
8,0.918725611,480,8,0.958277281,480,8,0.774503464,480,8,0.610623578,480,8,0.809352914,480,8,0.035413883,480,8,0.272436195,480,8,0.560578166,480,8,,0.035413883
9,0.890835467,480,9,0.542172677,480,9,0.32844231,480,9,0.276987085,480,9,0.299407786,480,9,0.078219891,480,9,0.546866641,480,9,0.285796435,480,9,,0.078219891
10,0.475665915,480,10,0.563898836,480,10,0.384884095,480,10,0.772980039,480,10,0.84458321,480,10,0.204968014,480,10,0.347117901,480,10,0.82136637,480,10,,0.204968014
11,0.332357952,480,11,0.494410064,480,11,0.472519491,480,11,0.605842933,480,11,0.724384438,480,11,0.265894617,480,11,0.158048672,480,11,0.150477246,480,11,,0.150477246
12,0.068702664,480,12,0.485254227,480,12,0.112894185,480,12,0.637209049,480,12,0.463795052,480,12,0.123398319,480,12,0.733642309,480,12,0.213502685,480,12,,0.068702664
13,0.019693405,480,13,0.147063531,480,13,0.463126617,480,13,0.777728894,480,13,0.37415245,480,13,0.23974592,480,13,0.086603879,480,13,0.759847649,480,13,,0.019693405
14,0.049935989,480,14,0.261297975,480,14,0.09484655,474,13,0.420859307,472,13,0.359000907,480,14,0.276585255,480,14,0.163802557,480,14,0.194418161,471,13,,0.049935989
15,0.068827456,480,15,0.226133991,480,15,0.570184148,474,14,0.745441279,471,14,0.39417506,480,15,0.202873471,480,15,0.092617161,474,14,0.215017709,480,15,,0.068827456
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.019693405,480,2,0.147063531,480,2,0.09484655,474,2,0.239555647,471,2,0.278063149,480,2,0.035413883,480,2,0.086603879,474,2,0.150477246,471,2,,0.019693405
,,,,,,,,,,,,,,,,,,,,,,,,,,
,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
