0.0070213,0,0.008006,0,0,0.087951,0,0.0061498,0
0.0011157,0,0.015088,0,0.0052145,0,0.01124,0.02025,0.0039961
0.0002725,0,0.0039174,0.0016573,0.0043212,0.00039734,0.0083107,0.0027004,0.0019958
0,0.00066149,0.0093187,0.0022164,0.00037779,0.0010253,0,0.0068777,0
0.0005484,0,0.0028411,0.00044758,0,0,0,0.0041997,0.0028249
0,0,0.015869,0.029167,0.0056998,0.0041856,0.00086831,0.001076,0
0,0.00042019,0,0,0.0034549,0.00022789,0.0060825,0.074087,0
0.004276,0,0.0070057,0,0.0011474,0,0.0010263,0.0079891,0
0,0,0.0041203,0.000529,0.004452,0,0.0059497,0,0.0009378
0.082507,0,0,0,0,0.00055225,0,0,0
0.0015112,0.00074621,0.001418,0,0,0.0039199,0,0.039815,0.0056515
0.0032912,0,0.0076884,0,0.0025842,0.0016054,0.0016829,0,0.00077667
0.00025402,0,0.0046555,0.0020948,0,0,0,0.0063938,0.00037162
0.00027733,0,0.00067645,0,0.0028805,0.0011105,0.0082066,0.01631,0.0016346
0.012877,0,0.057617,0,0,0.096121,0,0.028154,0.0020787
0.0011807,0,0.0018589,0,0.0078136,0.0035773,0.0035501,0,0
0.0020555,0,0.0029131,0,0.0022938,0,0.0027953,0,0
0,0.0011783,0.0066775,0,0.0048311,0.00027844,0.00053074,0,0
0,0.0014411,0.013871,0.00071902,0.014587,0.0016868,0.019444,0.0048349,0
0.00095767,0,0.0021886,0.0023061,0.00081248,0,0.0071281,0.0057527,0.0024797
0.0034919,0,0.0023469,0.00055499,0,0,0,0,0.0023544
0,0,0.011169,0.084469,0.013097,0,0.0072876,0,0
0.0033009,0.0016377,0.0049731,0,0.0067059,0.00291,0,0,0
0,0.093714,0.0045797,0,0,0,0,0,0.001483
0.0033691,0,0.0015924,0,0,0.00092031,0,0.014152,0.00033188
0,0,0.0055414,0.0028014,0,0,0.0030742,0.0092928,0.00079857
0.099656,0,0,0,0.022134,0.0076665,0.035124,0,0.0062762
0.0055299,0,0.0014986,0,0,0.0042589,0.0040091,0.0018033,0.0055272
0.012105,0,0.014357,0,0,0.09197,0.0018526,0.05095,0
