0.0020198,0,0.0024223
0.42596,0.43754,0.43899
0.14608,0.27488,0.035106
0.20168,0.20797,0.26442
0.0077268,0,0
0.001085,0,0
0.0099851,0.050788,0.36432
0.4321,0.39637,0.1265
0,0.0016223,0.0010703
0.042807,0.23076,0.38466
0.40032,0.2137,0.092288
0.0095611,0,0.0074679
0.39637,0.29896,0.39984
0.036238,0.14925,0.066868
0.39957,0.41769,0.41176
0.015594,0.0083905,0.0049565
0,0,0
0.0032981,0.0022968,0
0,0,0
0.0084594,0.010635,0.023578
0.17482,0.16572,0.15026
0.12623,0.17634,0.025981
0.10757,0.049553,0.15591
0.0078021,0.01278,0.10525
0.016722,0.03234,0.045038
0.0017476,0.0021384,0.0044187
0.017206,0.011409,0.014768
0.0035418,0,0
0.076338,0.015309,0.038114
0.033259,0.026684,0.068092
0.022029,0.016096,0.059529
0.1163,0.026063,0.10029
0.030094,0.028917,0.056971
0.054371,0.28027,0.028847
0.027766,0.020084,0.1017
0.056438,0.025793,0.023534
0.03916,0.007721,0.024976
0.0081827,0.0080978,0.013953
