0.0022554,0,0,0,0.0041551,0.092512,0,0.10465
0,0,0.0050586,0.020209,0.00036385,0.0028485,0,0
0.0029201,0,0,0.0057641,0,0.0011364,0,0
0.00087795,0,0,0.010607,0,0,0.00075554,0.00032223
0,0,0.0021575,0.0059369,0.000843,0,0.00011923,0.0017713
0,0,0.0075984,0,0.0014322,0.00037351,0.096175,0.0040059
0.0030716,0,0.00085213,0.012772,0,0,0,0.00025625
0,0,0,0.010718,0,0,0,0.0014164
0.00078198,0,0.0020212,0.0044553,0,0,0.0026072,0
0,0,0.0051275,0.013621,0,0.0018267,0,0
0.00078693,0.0016766,0,0.052765,0,0.00264,0,0.0085098
0,0,0.00066154,0.017655,0,0,0,0.00040547
0,0,0.00085862,0.0056002,0.0022502,0,0,0
0,0,0.004333,0.011185,0,0,0,0.00059673
0.0028834,0,0.0012751,0.025699,0.014436,0.097299,0,0
0.0026289,0,0,0.0072746,0,0,0,0.0035324
0,0.0018104,0,0.0054452,0,0,0,0.0023501
0.0021361,0.0022231,0,0.0011742,0,0.0001827,0.0031655,0
0.0059714,0,0,0.014377,0,0.0023719,0.0034661,0.0001194
0,0.0029037,0,0.0091823,0,0.0010812,0,0
0,0.0026114,0.00058199,0.0021664,0.0005268,0,0,0
0.080552,0,0,0,0,0,0.0014688,0.0061259
0.00048798,0,0.0012959,0.0099663,0,0.0031631,0,0.0012431
0,0,0.0015563,0,0,0,0.039458,0.0017904
0,0,0.0032544,0.011254,0,0.001145,0,0
0,0,0,0.0132,0.0022073,0,0.0053164,0.0014685
0.0015606,0,0.0029025,0.039027,0,0.0010789,0,0.12493
0,0,0.00010377,0.0084401,0.00015877,0.0015302,0,0
0.0020559,0,0.0037767,0.076047,0,0.089891,0,0.0087285
0,0,0.019107,0.032515,0,0.094756,0,0
0,0.0007723,0,0.0096831,0,0,0,0
0.0036871,0,0,0.0091435,0,0.00079,0.037651,0.0023382
0,0,0.0085172,0,0.00070905,0.00021905,0.003531,0.1017
0,0,0.0049531,0.0041715,0,0,0.0057421,0
0,0.0013694,0,0.0048974,0.0043066,0,0.0031112,0
0,0,0,0.0053697,0,0.00061364,0,0.0011583
0,0,0.013262,0.015393,0.0030995,0.0033159,0.0020673,0
0,0,0.0077272,0.03466,0.001261,0.0020222,0,0
0,0,0.0075823,0.062357,0,0.0003565,0,0.0086133
0,0,0.0072327,0.0051889,0.0076619,0,0,0
0.051369,0,0.020857,0.012884,0,0.0022678,0,0
0.045823,0,0.028419,0.010013,0,0.0018539,0,0.0012487
0,0,0.002512,0.0049446,0.0041198,0.0017908,0.00093367,0
0,0,0,0.010525,0,0.0018564,0,0
0,0,0.010675,0.032985,0.017249,0.0025516,0,0
0,0,0.0014889,0.0093743,0.00022045,0.0054339,0,0.00051075
0.0029116,0,0,0.016779,0,0,0.0024,0
0,0,0.001466,0.010388,0,0.001045,0,0
0.0013059,0,0.004576,0.01559,0,0.0014963,0,0
0,0.0011424,0.0031026,0.010121,0,0,0,0.00062621
0,0,0.019825,0.040374,0,0.0034737,0.042296,0.0026975
0.038808,0,0.034166,0.010566,0.0022683,0.004509,0,0
0,0,0.033491,0.055606,0,0.0048897,0,0
0,0.077124,0,0.0041966,0,0,0,0.002449
0,0,0,0.014715,0,0,0,0
0,0.0036411,0.015056,0,0.0032956,0,0.09062,0
0.0043493,0,0,0.017243,0.00097551,0.0018177,0.0059394,0
0.00079937,0,0.00162,0.0056982,0.0011247,0,0,0
