0.015078,0,0,0,0,0,0.03266,0.020085,0,0,0,0,0.011762,0,0,0,0.0051254,0,0.010463,0.010576,0.026341,0.00058497,0,0.012275,0,0.06455,0.040646,0.03983,0.026904,0,0.03093,0.021549,0,0
0,0.0090558,0,0,0.026686,0,0.025706,0.012843,0.0017963,0,0.028641,0.033191,0,0,0,0,0,0,0.0015587,0,0.008533,0,0.0079008,0.0043843,0,0.044252,0.0086049,0.026328,0.022349,0.0149,0.017098,0,0.034563,0.082172
0.0015062,0,0,0,0,0,0.025071,0.014171,0.029035,0,0,0.010892,0.022282,0,0,0,0.0063572,0.0042851,0.035049,0,0.02748,0.027301,0.0059094,0,0,0.076143,0,0,0.0096702,0,0.015444,0.034373,0.0053919,0
0,0,0,0,0,0.0074197,0.037036,0,0.0099287,0.021488,0.014928,0,0.036474,0.025004,0.0033041,0.01636,0.0010152,0,0.066146,0,0.018773,0,0,0.64528,0.029873,0,0.015397,0,0.024806,0,0,0,0.00089009,0
0,0,0,0,0,0,0.040673,0,0.0016212,0,0.0061722,0,0.033579,0,0,0,0,0,0,0,0,0.0032568,0,0.0065624,0,0.04904,0,0,0.014226,0.026374,0,0.048743,0.025776,0.004844
0,0,0.0374,0,0.0049077,0,0.030575,0,0,0,0.0036347,0.0036696,0,0,0,0.0038393,0,0,0,0,0.020113,0.035575,0,0.057287,0,0,0.0057714,0,0,0,0.0015553,0.0060557,0.047091,0.041113
0,0.02025,0.031229,0,0,0.056078,0.0019741,0,0.020955,0.028348,0.024789,0.0011754,0.0048301,0,0.011225,0,0.044828,0,0,0.048778,0,0,0,0.014456,0,0.023842,0,0.016393,0.00063717,0.019568,0,0.027752,0.011904,0
0,0,0.02461,0,0,0,0.071931,0.00015604,0,0,0,0,0.017917,0,0,0,0,0,0.0081225,0,0.038869,0.030674,0.0088755,0,0,0.0033951,0,0.00035728,0.053665,0,0.033744,0.057607,0.017522,0
0,0,0,0.037818,0.044564,0.025971,0.052385,0.019587,0,0.00034681,0.026115,0,0.021685,0,0,0,0.025317,0.027659,0.02845,0,0,0.01469,0.0045773,0.035772,0.00062431,0.05905,0,0,0.026052,0,0,0.024383,0.038468,0
0.040559,0,0,0,0,0,0.030013,0,0.00023727,0,0,0.010216,0.04843,0,0,0.040084,0.014409,0.015536,0.024319,0,0,0.024804,0,0.016011,0.019732,0,0,0,0,0.048603,0,0,0.77199,0
0,0.036576,0.0041501,0,0,0.0090626,0.15259,0,0.004494,0.029732,0,0.13243,0,0,0,0,0.0040379,0.051794,0.0055905,0.0014827,0,0.11407,0,0,0.048482,0.0087814,0,0.038987,0.015351,0.00069287,0,0,0.031939,0
0.0082522,0.072261,0,0.018516,0.078013,0.033422,0.015711,0,0,0.0065911,0.0088463,0,0,0,0.0042457,0,0.0043145,0,0.12613,0,0,0,0,0.017402,0,0,0.029122,0,0.0066136,0,0,0.064552,0.026074,0.018145
0,0,0.011378,0,0.030672,0.015882,0.033521,0,0.00042626,0,0,0,0.078889,0,0,0.010555,0.0052851,0.0067239,0,0.028005,0.013098,0,0,0,0,0.052521,0.011716,0.0078328,0,0,0,0,0.048768,0
0,0,0,0.0010498,0,0.069461,0,0.0065393,0.0080186,0.0020287,0.038472,0.068057,0.064769,0,0,0,0.024687,0,0,0.016358,0,0,0,0.065265,0,0,0,0,0,0,0,0.034532,0.024338,0
