0.022518,0,0.019548,0,0.0023774,0
0.03787,0,0,0.014665,0.020911,0.011499
0.023095,0,0,0.062995,0.015946,0
0,0.67558,0,0.038234,0.045215,0
0,0.015517,0,0.0037856,0.011857,0.0044327
0.033568,0.01561,0.0098968,0.0022956,0.00053609,0.0057867
0.041165,0.017978,0.011023,0.020389,0.010255,0.016863
0,0.010234,0.022544,0.0055484,0.0028693,0.024308
0.084426,0.017958,0,0,0,0.044793
0.05639,0.01723,0,0.026795,0,0.014528
0.051023,0.041728,0.017048,0.047759,0.0070365,0.028641
0,0,0,0,0,0
0,0,0,0.023747,0,0.012811
0.049107,0.02052,0.022816,0.012285,0.044557,0.01721
0.085288,0.05764,0.026585,0.034153,0.040917,0.04345
0.0052157,0,0.045674,0,0,0.017806
0,0.022714,0,0.027942,0.01375,0.0046177
0.040654,0,0.025125,0.0052847,0.026048,0.0010821
0,0.0088762,0,0,0.01552,0.0053224
0,0,0,0,0.0019184,0
0.035593,0.019561,0,0.019558,0.057962,0.011774
0,0.011911,0,0.035381,0,0
0.080775,0.040288,0.037001,0.020038,0.062447,0.045365
0.0094327,0,0.018834,0.0021065,0,0.0063945
0.04175,0.031061,0.023098,0.004709,0.0066553,0.014558
0,0.033083,0,0.055096,0.048071,0
0,0,0,0.052858,0,0.070655
0,0.021751,0,0,0,0.030488
0,0.048499,0,0.01036,0.048642,0
0.036009,0,0.022281,0.017377,0.027556,0.01274
0.053588,0.048802,0,0,0.024035,0.033752
0.024507,0,0,0,0,0
0.013085,0,0.0046126,0.026987,0.019268,0.11233
0.025279,0.0080182,0,0,0.0031807,0.0057616
0.018221,0.011081,0,0,0.020304,0.013514
0.027657,0.010731,0.026068,0.0018992,0.0083765,0.012665
0.066881,0.016489,0.011855,0.022893,0.0033619,0.022265
0.010859,0,0.010669,0,0,0.00094054
0,0,0,0,0.055022,0
0,0,0,0.029957,0.014233,0
0.02422,0,0.0073957,0,0,0.0060188
0.004773,0.0035918,0,0.0047944,0,0
0.069374,0.036125,0.017133,0.026938,0.019143,0.027452
0.038406,0.018966,0,0.014161,0.064084,0.017644
0.0097966,0.033298,0,0,0,0
0,0,0.0066622,0,0,0.010119
0.033688,0,0,0,0.019492,0
0.01646,0.009644,0,0.00014687,0.0010335,0.1077
0.038889,0.04976,0.017297,0.052197,0.012281,0.3763
0.046022,0.0098589,0.0093958,0,0.016953,0.011316
0.045018,0.04329,0,0.038487,0,0.13275
0.013874,0,0,0,0.0071222,0.0093736
0.01399,0.017063,0,0.018946,0,0.11258
0,0.0069932,0.015707,0.0048249,0,0.083093
0.0077469,0.024395,0,0.0024479,0.0075982,0.11049
0.036619,0,0.003766,0.01644,0.023512,0.001901
0,0,0,0,0,0
0.080674,0.021792,0.0064413,0.031864,0.018143,0.026819
0,0.0213,0.012971,0,0,0
0,0,0.041582,0,0,0.028161
0.079664,0.016525,0.024976,0.034376,0.037657,0.016662
0,0,0.064855,0,0.046935,0.055616
0.0019736,0,0,0.022255,0.019347,0
0.036819,0.013423,0.001342,0.002631,0.0037636,0.016728
0,0.041114,0.017758,0,0.022069,0
0.014882,0.019182,0,0,0.0088415,0.026489
0,0.059657,0,0.0095365,0,0.10059
0.03029,0,0.001964,0,0.0063511,0
0.044699,0,0,9.3162e-05,0,0
0.010307,0,0.01232,0,0,0
