0,0,0.0032037,0,0.0021391,0.028786,0.027185,0.0025664,0,0,0.016857,0.012292,0.0076764,0.016996,0,0,0.0031066,0.0026413,0,0.011329,0,0,3.5235e-05,0,0,0,0,0.0038919,0,0,0,0.013981,0.019226,0,0,0,0,0,0,0,0.025625
0,0.044958,0.0065066,0.050201,0.0094106,0.10344,0,0,0.0060357,0,0.0032865,0.010887,0,0,0.016342,0.01276,0.010565,0.014571,0,0,0.015192,0.021096,0.023857,0.0032621,0,0.0046163,0.0044415,0.041718,0,0,0,0,0.025838,0,0,0,0.061538,0.0046371,0,0,0.017048
0,0,0,0.042539,0.016132,0.049628,0.0050104,0.006782,0,0,0.0057158,0.00099578,0.0075951,0.0082959,0.0063759,0,0,0,0,0,0,0,0,0.016414,0.013338,0.015334,0,0,0.0048725,0.0052002,0,0,0.0046423,0.00049029,0,0,0.0035353,0.0075818,0,0,0.017807
0.017704,0,0.95378,0,0.0066362,0,0,0,0,0,0,0.0084775,0,0.0040832,0,0.0016581,0,0.0079116,0.0091886,0,0.00073551,0,0,0.0015439,0.0001593,0,0.001253,0,0.00097596,0,0,0,0.003015,0.0066882,0,0.0094011,9.2929e-05,7.5345e-05,0,0,7.4436e-05
0,0.018025,0.02263,0,0.01115,0.027942,0,0,0.0057198,0,0.014918,0,0,0,0,0.0024333,0.012121,0,0.0047425,0.0047216,0.011189,0.0026923,0,0,0.0029062,0.0041324,0.00023937,0,3.8355e-05,0.00047448,0,0.00067746,0.022012,0,0.0015453,0.041289,0,0.011216,0,0.020066,0.0039176
0.018655,0.038779,0.029146,0,0.0035009,0.059084,0.038613,0,0,0.0048234,0,0,0.013532,0.037575,0.023778,0,0.0081972,0,0.001858,0.011516,0.029349,0,0,0,0,0.0020123,0,0,0,0,0,0,0.0006627,0,0.012686,0.036088,0,0.011456,0.016281,0,0.025372
0.016286,0.013661,0.040512,0.0098586,0,0,0,0.003641,0.042877,0,0.017674,0,0.10831,0,0,0.017155,0,0,0,0.038334,0.04976,0,0,0.0055018,0.00079311,0.032837,0,0,0.0083763,0,0.029085,0,0,0,0.0030964,0,0,0,0.039261,0,0
0,0.0054649,0,0,0.015002,0.043739,0,0,0.0063156,0.00091515,0.012795,0.015257,0,0.0040169,0,0.024301,0.0072024,0.0035295,0,0.0099137,0,0,0.027497,0.024859,0.016506,0,0.01507,0,0,0.0056044,0,0,0.016089,0,0.027598,0,0,0.013623,0.064148,0,0.0091405
0,0.0096095,0.0152,0,0.014521,0.049234,0,0,0,0,0.012538,0,0,0.0037585,0,0,0.0010788,0,0,0,0.023582,0.0096214,0,0.01441,0.014133,0.02479,0.038326,0.016127,0.010971,0,0.01534,0,0.016175,0,0,0,0,0.038775,0.075332,0.024027,0
0.033409,0,0,0,0.0027928,0,0,0,0.017725,0,0,0.017886,0.022607,0,0.017827,0,0,0.025386,0.0048161,0.0036277,0.013342,0.04712,0.00061113,0.022783,0,0,0,0.016632,0,0.017647,0.00698,0,0,0,0.0073214,0,0,0,0,0,0
0.0067089,0.0079314,0,0,0.0031689,0,0,0.0058185,0,0,0,0,0,0,0,0,0.0021215,0.0037473,0.0046558,0.0062508,0,0.004168,0.0024722,0,0,0.0025346,0.0040168,0.0082972,0.0026541,0.0026444,0.0042246,0.0021596,0,0.0072047,0.0022519,0.011542,0,0,0.94959,0,0.0081919
0,0.004101,0.0031712,0,0,0.033491,0.0029291,0,0,0.0072447,0,0,0.013035,0.0075264,0,0.0026095,0.0053149,0,0,0.002428,0,0,0,0.0054623,0,0,0,0,0.0076697,0.0063118,0.014619,0.008467,0.0047383,0.0037767,0.0091287,0,0.0035195,0,0.0020706,0.0018787,0.0058177
0,0,0.0057153,0,0.003741,0.030733,0.0088457,0,0.0028072,0,0,0,0.026616,0.012716,0.011567,0.021707,0,0,0,0.00074968,0,0.015966,0.038217,0,0,0.013427,0,0,0,0,0,0,0.014113,0.0023842,0.016277,0,0,0,0.019054,0.012455,0.019167
0,0,0.091113,0.021045,0,0.063212,0,0.061178,0.0068833,0,0.024594,0,0.030024,0.0016028,0.093879,0,0.011441,0,0,0.027785,0,0.054342,0.007815,0,0.015202,0.044913,0,0.015985,0.053629,0.042372,0.019879,0.0073865,0.0055618,0,0,0,0.021477,0,0,0.018312,0
0.015388,0.00072474,0.0045484,0.0099054,0,0,0.0034961,0,0.0034976,0.00017461,0,0.0082329,0,0,0,0,0.9491,0.0065524,0,0,0,0.0038724,0,0,0,0,0,0,0.013505,0,0,0,0.0030241,0.017877,0.00069902,0.001806,0.0024773,0,0.0038382,0.0029589,0
0,0,0,0,0.01022,0.048052,0,0.0024217,0.034033,0,0.0065384,0,0,0,0,0,0.017543,0,0.0013364,0.011233,0,0,0,0.00055341,0.015215,0.030683,0,0,0,0.016183,0,0.017519,0.012989,0,0.014142,0.02974,0.0031256,0.028233,0.01458,0.011861,0
0,0,0.085384,0,0.009625,0,0,0,0.062087,0,0.016785,0,0.048083,0.010071,0.0025578,0.0023182,0,0,0,0,0.0037587,0.026156,0,0.012983,0,0.009606,0.0092144,0.0098827,0.011962,0,0.030576,0,0,0,0.00029288,0,0,0,0.028837,0,0.0014507
0,0,0.025181,0,0,0.04597,0,0,0,0,0,0.019117,0,0.0075149,0,0,0,0,0,0,0,0,0,0,0.0030942,0.012773,0,0,0.008834,0.0054265,0,0.0066258,0.034945,0,0.0055233,0.010124,0,0.0043416,0.020883,0,0
0,0.025374,0.040213,0,0,0.045417,0.019251,0.01041,0,0.038535,0,0,0,0.016911,0,0.011959,0.032549,0.010719,0,0,0,0,0,0.020062,0,0.010955,0,0,0.040741,0,0,0.0030781,0.011195,0,0,0,0.020164,0.012574,0,0.02587,0
0,0.010562,0.010736,0,0,0.022065,0,0,0.00055594,0,0,0.0041282,0,0,0,0.00062517,0.00044448,0,0.0023489,0.0055912,0.0051855,0,2.1811e-05,0.0034303,0.00088457,0.0021538,0,0,0,0.0010422,0,0,0,0.002328,0,0.017383,0.0024381,0.004056,0.0033763,0,0
0,0,0.045446,0,0.034268,0.008627,0,0.028507,0.068359,0.055142,0.046539,0,0,0,0,0.0041338,0.08824,0,0.019096,0.028519,0,0,0,0,0.03839,0.022117,0,0.018763,0,0.028495,0,0,0,0,0.011451,0,0,0.01189,0.0010262,0.0027126,0.004779
