0.010717,0,0.045477,0.0012525,0.0092557,0,0,0.013186,0,0,0,0,0.008165,0,0,0,0,0.016729,0.0031804,0,0.014544,0.0084787,0.0014859,0,0.0014285,0.0006644,0,0.0092388,0.0035149,0,0,0.0012077,0,0,0,0,0.014072,0.058766,0,0,0.020437,0.016279,0,0
0,0,0.14387,0,0,0.053002,0,0,0.055895,0.00052145,0.001422,0.0032235,0,0,0,0.0025989,0.020145,0.0080142,0,0.0028073,0.0086886,0,0.058783,0.0051565,0.0085274,0,0,0,0.018338,0,0,0,0.01674,0.0075866,0.008744,0,0,0,0,0,0,0,0.0021869,0
0.021042,0.0060226,0.035484,0,0.0063702,0,0,0.0099963,0.033287,0,0,0,0,0.0061762,0.0039206,0,0,0.016886,0,0.016669,0.010798,0,0.0067635,0.012402,0,0,0.00082844,0,0.021109,0,0,0.0078259,0.0037679,0,0.010671,0,0.0087637,0,0.0035761,0.048398,0.0084528,0,0.0027586,0
0,0,0,0.00013143,0,0,0,0.026962,0,0.0020526,0.00025704,0,0,0.0056917,0,0,0,0,0.0023491,0.0081369,0.0062805,0.0011061,0,0,0.0097692,0,0,0,0.0035996,0,0,0.0070749,0.011532,0.0017497,0,0,0.010561,0,0.0059172,0,0.0091057,0,0.0049595,0
0,0,0.075245,0,0.0003605,0,0,0,0,0,0.003173,0.011924,0.0084416,0,0.001538,0,0.010036,0.013833,0.00055957,0,0.0043542,0.0058944,0,0.0057899,0,0,0.0030647,0.0031622,0,0.00099497,0.013176,0.0015729,0.010476,0.0058858,1.7099e-05,0.0022807,0,0,0,0.0035207,0.0078653,0.0081167,0,0.011871
0.04209,0,0.066091,0,0.0040074,0.024043,0.0026258,0.023049,0.0063654,0,0.011462,0,0,0,0.0058284,0.023523,0.013928,0.028704,0.011325,0,0.0094664,0.0087372,0.0016893,0.0020701,0,0,0.0065509,0,0,0.0069142,0,0,0,0.016244,0.0032239,0.0098795,0.021983,0.04278,0,0.0073342,0,0,0.023744,0
0.080896,0,0,0.0085985,0,0,0.017544,0,0.018407,0.02704,0.00062849,0.024765,0,0,0.018086,0,0.015096,0.010134,0.012117,0,0,0.029371,0.018124,0.031254,0,0,0,0.010606,0.032716,0.011033,0.02389,0,0.031176,0.042015,0,0.007331,0.00311,0.080977,0,0.010364,0,0,0.0014235,0.00037352
0.001184,0.00028739,0.104,0.001601,0,0,0,0,0,0.01606,0,0,0.01301,0.0015979,0,0,0.010949,0,0.0066205,0.026368,0.004432,0.0055242,0.0024941,0,0.0045505,0.0053344,0.021469,9.7571e-05,0,0,0,0,0.026151,0,0.029991,0.026037,0.0086472,0.0089848,0,0,0,0,0,0
0,0.00035061,0.19663,0,0,0.038302,0,0.0023134,0,0,0,0,0,0,0.012862,0,0.017782,0,0.010833,0.013429,0,0,0.0076591,0.019845,0,0,0.014485,0.026563,0,0,0.0084171,0,0.012789,0.02002,0.0088714,0,0,0.018089,0,0.024957,0.034071,0.024577,0,0.017468
0,0,0.13757,0.0055029,0.012397,0,0.10893,0.023065,0.034774,0,0.0068115,0,0.0061769,0,0.019868,0.017059,0.0068926,0,0,0,0.0073776,0,0,0.008246,0,0,0,0.051998,0,0,0,0,0.017234,0,0.011034,0,0,0,0,0.19734,0,0.027991,0,0.025948
